name ,code,live_in_no,work_in_no,self_emp_total
Afghanistan,AFG,2,2,1
Algeria,DZA,1,0,1
Argentina,ARG,1,1,0
Australia,AUS,35,34,9
Austria,AUT,4,4,3
Bangladesh,BGD,1,1,0
Belgium,BEL,5,5,2
Bosnia and Herzegovina,BIH,1,1,0
Brazil,BRA,9,9,1
Bulgaria,BGR,7,7,1
Canada,CAN,65,61,12
Chile,CHL,3,3,0
Colombia,COL,2,2,0
Costa Rica,HRV,1,1,1
Czech Republic,,3,3,2
Denmark,CZE,7,7,2
Ecuador,EGY,1,1,0
Estonia,EST,2,2,0
Finland,FIN,7,7,2
France,FRA,15,13,5
Germany,DEU,48,48,10
Greece,GRC,1,1,1
Guatemala,GTM,1,1,1
Hungary,HUN,1,1,0
India,IND,6,6,1
Iran,IRA,1,1,0
Ireland,IRL,14,14,0
Israel,ISR,2,2,5
Italy,ITA,4,2,0
Japan,JPN,2,1,1
Lithuania,LTU,2,1,2
Mexico,MEX,2,2,0
Netherlands,NLD,42,41,13
New Zealand,NZL,7,7,2
Norway,NOR,3,3,0
Pakistan,PAK,3,2,0
Poland,POL,3,3,1
Romania,ROU,4,3,2
Russia,RUS,9,9,0
Slovakia,SVK,1,1,0
South Africa,ZAF,4,4,0
Spain,ESP,4,3,1
Sweden,SWE,16,17,4
Switzerland,CHE,8,8,3
Taiwan,TWN,1,0,1
Turkey,TUR,0,1,1
United Arab Emirates,ARE,0,1,0
United Kingdom,GBR,157,161,44
United States of America,USA,769,779,116
Venezuela,VEN,1,1,1
Vietnam,VNM,1,1,0
